# Relative Spectral Response per photon; Wright et al. 2010
# W2     RSR     uncertainty (parts per thousand)
Angstrom Fraction
25200 0.0
25300 5.086666666666666e-09
25400 1.9386666666666668e-06
25500 2.6026666666666667e-07
25600 5.361333333333333e-07
25700 7.970666666666667e-07
25800 6.108e-07
25900 2.1266666666666665e-06
26000 3.9653333333333334e-07
26100 1.5413333333333334e-07
26200 1.6373333333333332e-07
26300 1.2905333333333333e-07
26400 1.8493333333333334e-11
26500 1.0318666666666667e-11
26600 5.573333333333333e-08
26700 1.0072e-07
26800 1.2174666666666667e-07
26900 5.792e-08
27000 1.5053333333333333e-07
27100 1.0844e-07
27200 3.477333333333333e-07
27300 9.496e-08
27400 8.398666666666667e-08
27500 5.8213333333333336e-08
27600 4.416e-08
27700 8.072e-08
27800 4.170666666666667e-08
27900 1.0122666666666665e-07
28000 5e-08
28100 5.153333333333333e-08
28200 4.9693333333333336e-08
28300 5.1666666666666666e-08
28400 5.952e-08
28500 5.953333333333333e-08
28600 1.4146666666666666e-07
28700 4.929333333333333e-08
28800 4.232e-08
28900 2.5240000000000003e-08
29000 4.225333333333334e-08
29100 2.2839999999999998e-08
29200 2.3893333333333334e-08
29300 2.2573333333333332e-08
29400 9.165333333333334e-08
29500 8.730666666666666e-09
29600 6.026666666666666e-08
29700 7.549333333333333e-09
29800 3.748e-09
29900 2.3439999999999998e-09
30000 1.2668e-09
30100 2.9293333333333335e-17
30200 1.4293333333333334e-09
30300 2.164e-09
30400 1.68e-09
30500 2.341333333333333e-09
30600 1.4359999999999998e-09
30700 1.6146666666666667e-09
30800 1.5173333333333332e-08
30900 5.169333333333334e-10
31000 1.3826666666666666e-08
31100 1.1376e-09
31200 1.3933333333333334e-10
31300 8.26e-15
31400 9.352e-18
31500 1.7533333333333332e-14
31600 2.296e-14
31700 6.124e-10
31800 4.289333333333333e-14
31900 7.788e-17
32000 2.1226666666666666e-14
32100 4.272e-09
32200 5.4546666666666664e-09
32300 7.870666666666667e-09
32400 2.7933333333333332e-08
32500 8.178666666666666e-09
32600 8.977333333333333e-09
32700 7.301333333333333e-09
32800 6.658666666666667e-09
32900 7.964e-09
33000 3.392e-09
33100 1.6906666666666667e-13
33200 1.904e-13
33300 4.0533333333333334e-13
33400 6.241333333333333e-13
33500 6.314666666666667e-13
